country,year,gini
Argentina,1974,0.34539485
Argentina,1980,0.3930663
Argentina,1986,0.42171473
Argentina,1987,0.4484171
Argentina,1988,0.45518183
Argentina,1991,0.46518801
Argentina,1992,0.44401759
Argentina,1993,0.44398238
Argentina,1994,0.45286506
Argentina,1995,0.48123903
Argentina,1996,0.48555801
Argentina,1997,0.48345391
Argentina,1998,0.50215996
Argentina,1999,0.49073175
Argentina,2000,0.50394908
Argentina,2001,0.52210494
Argentina,2002,0.53273861
Argentina,2003,0.5278957
Bolivia,1992,0.48626333
Bolivia,1993,0.52916517
Bolivia,1997,0.52603679
Bolivia,1999,0.57873154
Bolivia,2000,0.61466861
Bolivia,2001,0.57306705
Bolivia,2002,0.59284207
Bolivia,2005,0.58509081
Bolivia,2006,0.56590643
Bolivia,2007,0.54499968
Bolivia,2008,0.50814773
Bolivia,2009,0.49173317
Bolivia,2011,0.46069018
Bolivia,2012,0.46538012
Bolivia,2013,0.47589094
Bolivia,2014,0.47806334
Bolivia,2015,0.46729437
Bolivia,2016,0.45188784
Bolivia,2017,0.44593256
Bolivia,2018,0.42570716
Bolivia,2019,0.41629905
Bolivia,2020,0.43644007
Bolivia,2021,0.40913373
Bolivia,2022,0.41172869
Bolivia,2023,0.42050114
Brazil,1981,0.57351254
Brazil,1982,0.57865168
Brazil,1983,0.58368993
Brazil,1984,0.57818144
Brazil,1985,0.55104082
Brazil,1986,0.5800741
Brazil,1987,0.59179465
Brazil,1988,0.60925822
Brazil,1989,0.6276979
Brazil,1990,0.60181965
Brazil,1993,0.59696953
Brazil,1995,0.59072851
Brazil,1996,0.59219855
Brazil,1997,0.59230232
Brazil,1998,0.59056533
Brazil,1999,0.58474376
Brazil,2001,0.58315829
Brazil,2002,0.58023437
Brazil,2003,0.57472535
Brazil,2004,0.56326946
Brazil,2005,0.56246625
Brazil,2006,0.55578756
Brazil,2007,0.54816478
Brazil,2008,0.53960243
Brazil,2009,0.53584032
Brazil,2011,0.52822224
Brazil,2012,0.52477306
Brazil,2013,0.52624344
Brazil,2014,0.51394774
Brazil,2015,0.51264593
Brazil,2016,0.53237479
Brazil,2017,0.5322829
Brazil,2018,0.53772913
Brazil,2019,0.53376244
Brazil,2020,0.48842019
Brazil,2021,0.53367914
Brazil,2022,0.51913976
Brazil,2023,0.515413
Chile,1987,0.56094333
Chile,1990,0.57129916
Chile,1992,0.54669567
Chile,1994,0.56266479
Chile,1996,0.54811719
Chile,1998,0.55441337
Chile,2000,0.52564312
Chile,2003,0.51153033
Chile,2006,0.47651448
Chile,2009,0.47329383
Chile,2011,0.46842955
Chile,2013,0.46791101
Chile,2015,0.45305789
Chile,2017,0.45211213
Chile,2020,0.46763609
Chile,2022,0.42959859
Colombia,2001,0.56197817
Colombia,2002,0.5594712
Colombia,2003,0.53481684
Colombia,2004,0.54938992
Colombia,2005,0.53863842
Colombia,2008,0.55138684
Colombia,2009,0.54149887
Colombia,2010,0.54496164
Colombia,2011,0.53396838
Colombia,2012,0.52530045
Colombia,2013,0.52518343
Colombia,2014,0.52420085
Colombia,2015,0.50860301
Colombia,2016,0.50434968
Colombia,2017,0.49560105
Colombia,2018,0.5026975
Colombia,2019,0.51168745
Colombia,2020,0.52872286
Colombia,2021,0.51163384
Colombia,2022,0.54611976
Colombia,2023,0.53671601
Costa Rica,1989,0.43974342
Costa Rica,1990,0.43956162
Costa Rica,1991,0.45351549
Costa Rica,1992,0.44642596
Costa Rica,1993,0.4468554
Costa Rica,1994,0.4580837
Costa Rica,1995,0.44747631
Costa Rica,1996,0.45493363
Costa Rica,1997,0.44898181
Costa Rica,1998,0.45053658
Costa Rica,1999,0.47009736
Costa Rica,2000,0.4674193
Costa Rica,2001,0.49899996
Costa Rica,2002,0.51591889
Costa Rica,2003,0.49125183
Costa Rica,2004,0.48311967
Costa Rica,2005,0.47434125
Costa Rica,2006,0.49176731
Costa Rica,2007,0.49281105
Costa Rica,2008,0.48517872
Costa Rica,2009,0.50406201
Costa Rica,2010,0.47952508
Costa Rica,2011,0.48669606
Costa Rica,2012,0.48363434
Costa Rica,2013,0.49129981
Costa Rica,2014,0.48571001
Costa Rica,2015,0.48305486
Costa Rica,2016,0.48637775
Costa Rica,2017,0.48304683
Costa Rica,2018,0.47885962
Costa Rica,2019,0.48145238
Costa Rica,2020,0.49141996
Costa Rica,2021,0.48640289
Costa Rica,2022,0.47109799
Costa Rica,2023,0.46713738
Costa Rica,2024,0.45808398
Dominican,1996,0.47207693
Dominican,1997,0.48539107
Dominican,2000,0.5140869
Dominican,2001,0.49995434
Dominican,2002,0.49579662
Dominican,2003,0.52033966
Dominican,2004,0.51994232
Dominican,2005,0.49929266
Dominican,2006,0.51936786
Dominican,2007,0.48809555
Dominican,2008,0.4808158
Dominican,2009,0.48872498
Dominican,2010,0.47314128
Dominican,2011,0.47706907
Dominican,2012,0.46133753
Dominican,2013,0.47656392
Dominican,2014,0.44271087
Dominican,2015,0.45178331
Dominican,2016,0.45697651
Dominican,2017,0.42133588
Dominican,2018,0.43672353
Dominican,2019,0.41878657
Dominican,2020,0.39539351
Dominican,2021,0.38516043
Dominican,2022,0.36973148
Dominican,2023,0.383534
Dominican,2024,0.389503
Ecuador,1999,0.58540753
Ecuador,2006,0.52803557
Ecuador,2003,0.53415847
Ecuador,2004,0.53467397
Ecuador,2005,0.5299106
Ecuador,2007,0.53279881
Ecuador,2008,0.49739999
Ecuador,2009,0.48390441
Ecuador,2010,0.48729272
Ecuador,2011,0.45788599
Ecuador,2012,0.46051153
Ecuador,2013,0.46811051
Ecuador,2014,0.44938678
Ecuador,2015,0.45879592
Ecuador,2016,0.44943225
Ecuador,2017,0.44621339
Ecuador,2018,0.45384361
Ecuador,2019,0.45688048
Ecuador,2020,0.4728637
Ecuador,2021,0.45739925
Ecuador,2022,0.45445736
Ecuador,2023,0.44565241
Ecuador,2024,0.451808
El Salvador,2000,0.51394221
El Salvador,2001,0.51195707
El Salvador,2002,0.51723444
El Salvador,2003,0.50214248
El Salvador,2004,0.47594874
El Salvador,2005,0.48373114
El Salvador,2006,0.45661316
El Salvador,2007,0.45212577
El Salvador,2008,0.46885678
El Salvador,2009,0.45825085
El Salvador,2010,0.43503973
El Salvador,2011,0.4231263
El Salvador,2012,0.41822297
El Salvador,2013,0.43354277
El Salvador,2014,0.41552989
El Salvador,2015,0.40551942
El Salvador,2016,0.39977934
El Salvador,2017,0.38006885
El Salvador,2018,0.38610569
El Salvador,2019,0.38778764
El Salvador,2021,0.38979215
El Salvador,2022,0.38700041
El Salvador,2023,0.45195033
Honduras,2001,0.55315749
Honduras,2002,0.55623085
Honduras,2003,0.5787324
Honduras,2004,0.57897112
Honduras,2005,0.59457141
Honduras,2006,0.57510336
Honduras,2007,0.55784759
Honduras,2008,0.55445958
Honduras,2009,0.51270219
Honduras,2010,0.53076305
Honduras,2011,0.52543334
Honduras,2012,0.5336401
Honduras,2013,0.49956783
Honduras,2014,0.49847872
Honduras,2015,0.49244945
Honduras,2016,0.498048
Honduras,2017,0.49396199
Honduras,2018,0.48933348
Honduras,2019,0.48097475
Honduras,2023,0.46697936
Mexico,1989,0.50073739
Mexico,1992,0.52304341
Mexico,1994,0.53421535
Mexico,1996,0.51949962
Mexico,1998,0.53277924
Mexico,2000,0.53410096
Mexico,2002,0.5058033
Mexico,2004,0.50331338
Mexico,2005,0.50932102
Mexico,2006,0.4970637
Mexico,2008,0.50824384
Mexico,2010,0.47647309
Mexico,2012,0.49591203
Mexico,2014,0.48904751
Mexico,2016,0.46905129
Mexico,2018,0.45948733
Mexico,2020,0.44581103
Mexico,2022,0.43442298
Mexico,1993,0.56405478
Mexico,2001,0.52868892
Mexico,2009,0.43941455
Panama,1989,0.55013245
Panama,1991,0.55539151
Panama,1995,0.55132295
Panama,1997,0.56652819
Panama,1998,0.55381892
Panama,1999,0.54525418
Panama,2000,0.55724702
Panama,2001,0.5616919
Panama,2002,0.559215
Panama,2003,0.55433509
Panama,2004,0.54624508
Panama,2005,0.53597193
Panama,2006,0.54477501
Panama,2007,0.52599819
Panama,2008,0.52979257
Panama,2009,0.51750171
Panama,2010,0.51581381
Panama,2011,0.5130578
Panama,2012,0.51708564
Panama,2013,0.51416561
Panama,2014,0.50419965
Panama,2015,0.50768368
Panama,2016,0.5037425
Panama,2017,0.49749339
Panama,2018,0.49171519
Panama,2019,0.49802822
Panama,2021,0.50749215
Panama,2023,0.48847207
Paraguay,1990,0.40786197
Paraguay,1995,0.4895556
Paraguay,1997,0.54838192
Paraguay,1999,0.54490253
Paraguay,2001,0.5460613
Paraguay,2002,0.57252966
Paraguay,2003,0.54930145
Paraguay,2004,0.52230998
Paraguay,2005,0.51370432
Paraguay,2006,0.52980903
Paraguay,2007,0.53030303
Paraguay,2008,0.5070469
Paraguay,2009,0.49133397
Paraguay,2010,0.50982438
Paraguay,2011,0.52306255
Paraguay,2012,0.47633565
Paraguay,2013,0.47919234
Paraguay,2014,0.50702643
Paraguay,2015,0.47601459
Paraguay,2016,0.47899719
Paraguay,2017,0.48547493
Paraguay,2018,0.46217826
Paraguay,2019,0.45650637
Paraguay,2020,0.43481941
Paraguay,2021,0.42894048
Paraguay,2022,0.45067699
Paraguay,2023,0.443643
Paraguay,2024,0.447455
Peru,1997,0.53259086
Peru,1998,0.55114627
Peru,1999,0.54828893
Peru,2000,0.49073365
Peru,2001,0.51287717
Peru,2002,0.5354866
Peru,2003,0.50707878
Peru,2004,0.49876946
Peru,2005,0.50450898
Peru,2006,0.50331039
Peru,2007,0.50020579
Peru,2008,0.47481375
Peru,2009,0.47002652
Peru,2010,0.45537924
Peru,2011,0.44660152
Peru,2012,0.44437092
Peru,2013,0.43882895
Peru,2014,0.43138565
Peru,2015,0.43354476
Peru,2016,0.43636335
Peru,2017,0.43292049
Peru,2018,0.42387649
Peru,2019,0.4156214
Peru,2020,0.43793049
Peru,2021,0.40248407
Peru,2022,0.40569265
Peru,2023,0.40671358
Peru,2024,0.40118525
Uruguay,1989,0.42359944
Uruguay,1992,0.41463942
Uruguay,1995,0.40912323
Uruguay,1996,0.40744278
Uruguay,1997,0.41455764
Uruguay,1998,0.42475731
Uruguay,2000,0.42905054
Uruguay,2001,0.4500703
Uruguay,2002,0.45541394
Uruguay,2003,0.45032388
Uruguay,2004,0.45876411
Uruguay,2005,0.44727801
Uruguay,2006,0.46127801
Uruguay,2007,0.46393864
