year,Argentina,Bolivia,Brazil,Chile,Colombia,Costa Rica,Dominican,Ecuador,El Salvador,Honduras,Mexico,Panama,Paraguay,Peru,Uruguay
2001,0.52210494,0.57306705,0.58315829,0.51153033,0.56197817,0.49899996,0.49995434,0.53415847,0.51195707,0.55315749,0.52868892,0.5616919,0.5460613,0.51287717,0.4500703
2002,0.53273861,0.59284207,0.58023437,0.51153033,0.5594712,0.51591889,0.49579662,0.53415847,0.51723444,0.55623085,0.5058033,0.559215,0.57252966,0.5354866,0.45541394
2003,0.5278957,0.5902583166666666,0.57472535,0.51153033,0.53481684,0.49125183,0.52033966,0.53415847,0.50214248,0.5787324,0.50455834,0.55433509,0.54930145,0.50707878,0.45032388
2004,0.5278957,0.5876745633333333,0.56326946,0.49985838000000005,0.54938992,0.48311967,0.51994232,0.53467397,0.47594874,0.57897112,0.50331338,0.54624508,0.52230998,0.49876946,0.45876411
2005,0.5278957,0.58509081,0.56246625,0.48818643,0.53863842,0.47434125,0.49929266,0.5299106,0.48373114,0.59457141,0.50932102,0.53597193,0.51370432,0.50450898,0.44727801
2006,0.5278957,0.56590643,0.55578756,0.47651448,0.5428878933333333,0.49176731,0.51936786,0.52803557,0.45661316,0.57510336,0.4970637,0.54477501,0.52980903,0.50331039,0.46127801
2007,0.5278957,0.54499968,0.54816478,0.47544093000000004,0.5471373666666667,0.49281105,0.48809555,0.53279881,0.45212577,0.55784759,0.50265377,0.52599819,0.53030303,0.50020579,0.46393864
2008,0.5278957,0.50814773,0.53960243,0.47436738,0.55138684,0.48517872,0.4808158,0.49739999,0.46885678,0.55445958,0.50824384,0.52979257,0.5070469,0.47481375,0.45072547
2009,0.5278957,0.49173317,0.53584032,0.47329383,0.54149887,0.50406201,0.48872498,0.48390441,0.45825085,0.51270219,0.43941455,0.51750171,0.49133397,0.47002652,0.45535302
2010,0.5278957,0.476211675,0.53203128,0.47086169,0.54496164,0.47952508,0.47314128,0.48729272,0.43503973,0.53076305,0.47647309,0.51581381,0.50982438,0.45537924,0.44466638
2011,0.5278957,0.46069018,0.52822224,0.46842955,0.53396838,0.48669606,0.47706907,0.45788599,0.4231263,0.52543334,0.48619256,0.5130578,0.52306255,0.44660152,0.42167363
2012,0.5278957,0.46538012,0.52477306,0.46817028,0.52530045,0.48363434,0.46133753,0.46051153,0.41822297,0.5336401,0.49591203,0.51708564,0.47633565,0.44437092,0.39893811
2013,0.5278957,0.47589094,0.52624344,0.46791101,0.52518343,0.49129981,0.47656392,0.46811051,0.43354277,0.49956783,0.49247977,0.51416561,0.47919234,0.43882895,0.40445013
2014,0.5278957,0.47806334,0.51394774,0.46048445000000005,0.52420085,0.48571001,0.44271087,0.44938678,0.41552989,0.49847872,0.48904751,0.50419965,0.50702643,0.43138565,0.40103523
2015,0.5278957,0.46729437,0.51264593,0.45305789,0.50860301,0.48305486,0.45178331,0.45879592,0.40551942,0.49244945,0.4790494,0.50768368,0.47601459,0.43354476,0.40120669
2016,0.5278957,0.45188784,0.53237479,0.45258501,0.50434968,0.48637775,0.45697651,0.44943225,0.39977934,0.498048,0.46905129,0.5037425,0.47899719,0.43636335,0.39688513
2017,0.5278957,0.44593256,0.5322829,0.45211213,0.49560105,0.48304683,0.42133588,0.44621339,0.38006885,0.49396199,0.46426931000000005,0.49749339,0.48547493,0.43292049,0.39456537
2018,0.5278957,0.42570716,0.53772913,0.45728678333333334,0.5026975,0.47885962,0.43672353,0.45384361,0.38610569,0.48933348,0.45948733,0.49171519,0.46217826,0.42387649,0.39680701
2019,0.5278957,0.41629905,0.53376244,0.46246143666666667,0.51168745,0.48145238,0.41878657,0.45688048,0.38778764,0.48097475,0.45264918,0.49802822,0.45650637,0.4156214,0.39666525
2020,0.5278957,0.43644007,0.48842019,0.46763609,0.52872286,0.49141996,0.39539351,0.4728637,0.388789895,0.4774759025,0.44581103,0.5027601850000001,0.43481941,0.43793049,0.40127557
2021,0.5278957,0.40913373,0.53367914,0.44861734,0.51163384,0.48640289,0.38516043,0.45739925,0.38979215,0.473977055,0.440117005,0.50749215,0.42894048,0.40248407,0.40752737
2022,0.5278957,0.41172869,0.51913976,0.42959859,0.54611976,0.47109799,0.36973148,0.45445736,0.38700041,0.4704782075,0.43442298,0.49798211000000003,0.45067699,0.40569265,0.40542276
2023,0.5278957,0.42050114,0.515413,0.42959859,0.53671601,0.46713738,0.383534,0.44565241,0.45195033,0.46697936,0.43442298,0.48847207,0.443643,0.40671358,0.40851399
